WTI Crude Oil (LO|CL) NL2N6 (0.07 DTE) vs 79.27 (+1.13) - Intraday Volume
Put: 3,475  Call: 4,761  Vol: 84.53  Vol Chg: -10.56  Future Chg: 1.13
Strike,Call,Put,Vol Settle
76.5,11,35,0.8562874482644816
76.75,2,29,0.8615167955013021
77,3,407,0.8675661966149164
77.25,2,19,0.874382995169185
77.5,0,270,0.8819159173129947
77.75,6,19,0.8901150717827022
78,123,997,0.8989319498971327
78.25,15,8,0.9083194255653098
78.5,70,161,0.9182317552773611
78.75,70,65,0.9286245781116804
79,89,158,0.9394549157310621
79.25,32,367,0.9506811723848614
79.5,83,148,0.9622631349074027
79.75,48,34,0.9741619727184343
80,478,155,0.9863402378255159
80.25,253,162,0.9987618648176522
80.5,40,4,1.0113921708746147
80.75,30,3,1.0241978557568245
81,786,33,1.0371470018134232
81.5,130,6,1.0633549197721095
82,377,18,1.0897882352505803
